"﻿Product",Product type,Location,SFDC Produktkode / sti,License,On-prem maturity,Cloud Maturity,Owner,Champions,Dependencies,Property," 1"," 2"," 3"," 4"," 5"," 6",Markets,Location 1,Showstoppers,Suggested Solution,Comment,Market," 7"
EdgeInsight,Application,On-prem,ABB Ability™ Edge Connect & Insight,,8,,ABB NO Digital,"Roger Hansen, Torgeir Enkerud",,,,,X,X,X,X,,Hub,Willingness to develop application and application functionality,,,,
Cloud Connect SaaS (OPC UA in cloud/HTTP Plugin),Application,Cloud,ABB Ability™ Edge Connect & Insight,,NA,8,ABB NO Digital,"Roger Hansen, Torgeir Enkerud",,,,,X,X,X,X,,Hub,Willingness to develop application and application functionality,,,,
ABB Ability ™ Insight Dashboards,Dashboard,Cloud,ABB Ability™ Edge Connect & Insight,,NA,8,ABB NO Digital,"Roger Hansen, Torgeir Enkerud",EdgeInsight,,,,X,X,X,X,,Hub,"What is Dashboards, must be more defined",,,,
ABB Ability ™ Linea,Application,Cloud,ABB Ability™ Edge Connect & Insight,,NA,8,ABB NO Digital,"Torgeir Enkerud, Håkon Berg",EdgeInsight,,,,X,X,X,X,,Hub,,,,,
ABB Ability ™ Event Explorer,Application,Cloud,,,NA,8,ABB NO Digital,?,EdgeInsight,,,,X,X,X,X,,Hub,,,,,
Edgenius,,,,,,,,,,,,,X,X,,X,,Global,"Maturity, quality, price model",,,,
General ABB Tools,,,,,,,,,,,,,,,,,,,,,,,
FIM,Application,On-prem,,,,,PCP,,,,,,X,X,,X,,Global,Missing DTM (Existing monitoring protocol) Used on all brownfield sites. No willingness from Cybersecurity to take responsibility for deployment,,,,
PEMS,Application,On-prem,,,,,ABB IT,Svein Edvin Håvåg,,,,,X,,,X,,Global,Investigate EU / NO emission regulations,,,,
AFP / ITM,Application,On-prem,,,,,ABB DE,Svein Edvin Håvåg,,,,,X,X,,X,,Global,"Not cloud enabled, heavy/low quality codebase, old fasion, lack of unified look and feel",,,,
MES / MOM,Application,On-prem,,,,,ABB DE,Svein Edvin Håvåg,,,,,X,,,X,,Global,Not cloud enabled,,,,
Asset Insight,Application,Cloud / on-prem,,,,,ABB DE,Svein Edvin Håvåg,,,,,X,X,,X,,Global,"Price and pricing model, based on optimax, to many bugs, missing final development",,,,
PNSM,Application,On-prem,,,,,PCP,,,,,,X,X,,X,,Global,800xA based low capacity,,Replaced by Network Insight,,
ITAC (IT Asset Connect /Interface Insight),Application,On-prem,,,,,ABB NO Digital,,,,,,,,,,,Hub,"800xA based, one off solution, based on OPC Connect server (3 items sold)",,Replaced by Network Insight,,
Network Insight,Dashboard,COC Cloud,,,,,ABB NO Digital,,,,,,X,X,,X,VA,Hub,"Not finished, pricing not finished",,,,
Energy Management,,,,,,,,,,,,,,,,,,,,,,,
"PPM, Process Power Manager",Application,On-prem,,,9,,ABB NO Digital,Stein Trøstem,,,,,,,,,,Global,"To expensive for small sites, 800xA based",,,,
PPSim,Application / Simulation,Cloud / on-prem,,,7,7?,ABB NO Digital,Stein Trøstem,,,,,X,X,,X,,Global,Missing salesresources,,,,
Optimax,Application,Cloud / on-prem,,,?,?,ABB DE,,,,,,X,X,,X,,Global,Missing sales  and engineering resources,,,,
Energy Monitoring Dashboard,Application,Cloud,,,,?,ABB NO Digital,,,,,,X,,,X,,Hub,New name….,,,,
ENMON Energy Monitoring System,Application,B&R Cloud / on-prem,,,,?,B&R,,,,,,,,,,,Global,Missing competence in NO,,,,
Genix APM Predict Asset Monitors,,,,,,,,,,,,,,,,,,,,,,,
Oil Filled Transformers - CoreSense/CoreTEC,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
"Dry Transformers - Thermal ",Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
HV/MV/LV Switchgear - Relion  PR,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
HV/MV Insulating Gas Density - MSM,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
Switchgear Temperature - Sensycal/Exertherm,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
LV Switchgear MNSiS,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
LV Switchgear UMC100,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
MV Variable Speed Drives,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
LV Variable Speed Drives,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
UPS Systems,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",On-prem Edgenius,,,,X,X,,X,,Global,Require on-prem Edgenius and not cloud independent,,,,
OCM Drive monitor replacement,,,,,?,?,,,,,,,,,,,,,,,,,
Genix APM Predict 360,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB PADI,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen","Genix ",,,,,,,,,Global,"Build on the Genix Platform, as of now descided not to sell the Genix platform, but we can sell the applications",Need to descided when to sell,,,
Genix APM Perform 360,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB PADI,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen","Genix ",,,,,,,,,Global,"Build on the Genix Platform, as of now descided not to sell the Genix platform, but we can sell the applications",Need to descided when to sell,,,
Genix APM Asess 360,Application & Dashboard,Ability Cloud/on-prem,,,?,?,ABB PADI,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen","Genix ",,,,,,,,,Global,"Build on the Genix Platform, as of now descided not to sell the Genix platform, but we can sell the applications",Need to descided when to sell,,,
CM Reliability Apps,,,,,,,,,,,,,,,,,,,,,,,
Oil Filled Transformers - CoreSense/CoreTEC,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
"Dry Transformers - Thermal ",Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
HV/MV/LV Switchgear - Relion  PR,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
HV/MV Insulating Gas Density - MSM,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
Switchgear Temperature - Sensycal/Exertherm,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
LV Switchgear MNSiS,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
LV Switchgear UMC100,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
MV Variable Speed Drives,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
LV Variable Speed Drives,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
UPS Systems,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,X,X,,X,,,,,,,
LCI Drive,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,,,,,,,,,,,
Control System Monitoring,Dashboard,COC Cloud,,,,,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik, Kai Hansen",EdgeInsight,,,,,,,,,,,,,,
CM Reliability Services,,,,,,,,,,,,,,,,,,,,,,,
Reliability Service - Electrical Condition Monitoring,Service,,,,NA,NA,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik",,,,,X,X,,X,,,"None, sold in different shapes and sizes",,,,
Reliability Service - Rotating Condition Monitoring,Service,,,,NA,NA,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik",,,,,X,X,,X,,,"None, sold in different shapes and sizes",,,,
Reliability Service - Remote Monitoring of CM system,Service,,,,NA,NA,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik",,,,,X,X,,X,,,"None, sold in different shapes and sizes",,,,
Reliability Service - Control System Monitoring,Service,,,,NA,NA,ABB NO Digital,"Svein Edvin Håvåg, Tor Ole Steinsvik",,,,,X,X,,X,,,"None, sold in different shapes and sizes",,,,
SafetyInsight Engineering Tools**,,,,,,,,,,,,,,,,,,,,,,,
ABB Ability ™ HAZOP Cloud,Application,Cloud,,,NA,,ABB NO Digital,Thomas Skovholt,,,,,X,,,(X),,,,,,,
ABB Ability ™ LOPA Cloud,Application,Cloud,,,NA,,ABB NO Digital,Thomas Skovholt,,,,,X,,,(X),,,,,,,
ABB Ability ™ SIF Designer Cloud,Application,Cloud,,,NA,,ABB NO Digital,Thomas Skovholt,,,,,X,,,(X),,,,,,,
ABB Ability ™ Operational Risk Dashboard,Application,Cloud,,,NA,,ABB NO Digital,Thomas Skovholt,,,,,X,,,(X),,,,,,,
SafetyInsight,,,,,,,,Thomas Skovholt,,,,,X,,,(X),,,,,,,
Event Consolidation Database (EC),Application,On-prem,,,9,NA,,Thomas Skovholt,,,,,X,,,(X),,,,,,,
Automatic Shutdown Report (ASR),Application,On-prem,,,9,Na,,Thomas Skovholt,,,,,X,,,(X),,,,,,,
Valve Verification (VV),Application,On-prem / Cloud,,,9,,,Thomas Skovholt,EdgeInsight,,,,X,,,(X),,,,,,,
Pressure BlownDown report (PBR) ( VV= pre-req),Application,On-prem,,,,NA,,Thomas Skovholt,,,,,X,,,(X),,,,,,,
Valve Leakage test (VLT - 2021) /Barrier Test (VLT),Application,On-prem,,,,NA,,Thomas Skovholt,,,,,X,,,(X),,,,,,,
SIF Performance (SIL),Application,On-prem,,,,NA,,Thomas Skovholt,,,,,X,,,(X),,,,,,,
BlockLog (BL),Application,On-prem / Cloud,,,9,,,Thomas Skovholt,EdgeInsight,,,,X,,,(X),,,,,,,
